library,candidate_order,candidate_name,included_in_k7,included_in_k20,estimator_class,parameters_json
high_dependency_linear_20,11,logreg_l2_c30,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=30.0, max_iter=3000, random_state=152, solver='liblinear')"", ""model__C"": 30.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 152, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=30.0, max_iter=3000, random_state=152, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,12,logreg_l2_c100,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=100.0, max_iter=3000, random_state=158, solver='liblinear')"", ""model__C"": 100.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 158, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=100.0, max_iter=3000, random_state=158, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,13,logreg_l1_c003,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.03, max_iter=3000, penalty='l1', random_state=164,\n                   solver='liblinear')"", ""model__C"": 0.03, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l1"", ""model__random_state"": 164, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.03, max_iter=3000, penalty='l1', random_state=164,\n                   solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,14,logreg_l1_c03,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.3, max_iter=3000, penalty='l1', random_state=168,\n                   solver='liblinear')"", ""model__C"": 0.3, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l1"", ""model__random_state"": 168, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.3, max_iter=3000, penalty='l1', random_state=168,\n                   solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,15,logreg_l1_c1,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(max_iter=3000, penalty='l1', random_state=174,\n                   solver='liblinear')"", ""model__C"": 1.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l1"", ""model__random_state"": 174, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(max_iter=3000, penalty='l1', random_state=174,\n                   solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,16,logreg_l1_c3,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=3.0, max_iter=3000, penalty='l1', random_state=180,\n                   solver='liblinear')"", ""model__C"": 3.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l1"", ""model__random_state"": 180, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=3.0, max_iter=3000, penalty='l1', random_state=180,\n                   solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,17,elastic_net_c01_r025,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.1, l1_ratio=0.25, max_iter=3000, n_jobs=1,\n                   penalty='elasticnet', random_state=182, solver='saga')"", ""model__C"": 0.1, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": 0.25, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": 1, ""model__penalty"": ""elasticnet"", ""model__random_state"": 182, ""model__solver"": ""saga"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.1, l1_ratio=0.25, max_iter=3000, n_jobs=1,\n                   penalty='elasticnet', random_state=182, solver='saga')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,18,elastic_net_c1_r025,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(l1_ratio=0.25, max_iter=3000, n_jobs=1, penalty='elasticnet',\n                   random_state=192, solver='saga')"", ""model__C"": 1.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": 0.25, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": 1, ""model__penalty"": ""elasticnet"", ""model__random_state"": 192, ""model__solver"": ""saga"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(l1_ratio=0.25, max_iter=3000, n_jobs=1, penalty='elasticnet',\n                   random_state=192, solver='saga')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,19,elastic_net_c1_r075,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(l1_ratio=0.75, max_iter=3000, n_jobs=1, penalty='elasticnet',\n                   random_state=194, solver='saga')"", ""model__C"": 1.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": 0.75, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": 1, ""model__penalty"": ""elasticnet"", ""model__random_state"": 194, ""model__solver"": ""saga"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(l1_ratio=0.75, max_iter=3000, n_jobs=1, penalty='elasticnet',\n                   random_state=194, solver='saga')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,20,linear_svm_c01,False,True,Pipeline,"{""memory"": null, ""model"": ""LinearSVC(C=0.1, dual=False, max_iter=8000, random_state=198)"", ""model__C"": 0.1, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__loss"": ""squared_hinge"", ""model__max_iter"": 8000, ""model__multi_class"": ""ovr"", ""model__penalty"": ""l2"", ""model__random_state"": 198, ""model__tol"": 0.0001, ""model__verbose"": 0, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LinearSVC(C=0.1, dual=False, max_iter=8000, random_state=198)""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
