library,pool_size,complete_replications,nondegenerate_candidates,mean_pairwise_correlation,minimum_pairwise_correlation,maximum_pairwise_correlation,effective_candidate_count
high_dependency_linear_20,7,10000,7,0.8797718787929386,0.58358951196333,0.9998113113677778,1.1986546495464376
high_dependency_linear_20,20,10000,20,0.8503732898802748,0.008069288335480776,0.9999989824265431,1.214799869162391
mixed_realistic_20,7,10000,7,0.4058442350033872,0.10510489299124046,0.9962431907632694,3.090995768817687
mixed_realistic_20,20,10000,20,0.4430712645900745,0.0701423157244775,0.9999839651499655,3.581430227015328
