model,logreg_l2_c003,logreg_l2_c01,logreg_l2_c1,logreg_l2_c10,logreg_l1_c01,elastic_net_logreg,linear_svm_c1
logreg_l2_c003,1.0,0.9968709585623111,0.9870625083284934,0.9843317217859041,0.6093461700886044,0.9883400826656715,0.9885172071741497
logreg_l2_c01,0.9968709585623111,1.0,0.9962800002653158,0.9946578552656402,0.5983498770854204,0.9959408733519766,0.9961391946212955
logreg_l2_c1,0.9870625083284934,0.9962800002653158,1.0,0.9998113113677778,0.586042337801515,0.99814964652246,0.9962431907632694
logreg_l2_c10,0.9843317217859041,0.9946578552656402,0.9998113113677778,1.0,0.58358951196333,0.9977660892261904,0.9952066727341099
logreg_l1_c01,0.6093461700886044,0.5983498770854204,0.586042337801515,0.58358951196333,1.0,0.604530170526194,0.5837885837525385
elastic_net_logreg,0.9883400826656715,0.9959408733519766,0.99814964652246,0.9977660892261904,0.604530170526194,1.0,0.9942454907995469
linear_svm_c1,0.9885172071741497,0.9961391946212955,0.9962431907632694,0.9952066727341099,0.5837885837525385,0.9942454907995469,1.0
