Panel,Library,Signal structure,Target oracle AUROC,Metric,Replications,Top winner,Top winner count,"Top winner proportion, %",Runner-up,"Runner-up proportion, %",Models selected at least once,Effective number of winners
"Winner concentration by library, signal structure, and metric",Heterogeneous core,XOR interaction signal,0.7,AUROC,1000,Histogram gradient boosting,459,45.9,RBF SVM,23.2,7,3.48
"Winner concentration by library, signal structure, and metric",Similar linear,Single linear signal,0.5,Average precision,1000,logreg_l1_c01,461,46.1,logreg_l2_c003,15.8,7,3.61
"Winner concentration by library, signal structure, and metric",Similar linear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),1000,logreg_l1_c01,448,44.8,logreg_l2_c003,17.2,7,3.72
"Winner concentration by library, signal structure, and metric",Similar linear,Single linear signal,0.5,AUROC,1000,logreg_l1_c01,469,46.9,logreg_l2_c003,17.1,7,3.44
"Winner concentration by library, signal structure, and metric",Similar linear,Single linear signal,0.6,Average precision,1000,logreg_l1_c01,654,65.4,logreg_l2_c003,12.6,7,2.2
"Winner concentration by library, signal structure, and metric",Similar linear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),1000,logreg_l1_c01,601,60.1,logreg_l2_c003,13.3,7,2.51
"Winner concentration by library, signal structure, and metric",Similar linear,Single linear signal,0.6,AUROC,1000,logreg_l1_c01,692,69.2,logreg_l2_c003,13,7,1.98
"Winner concentration by library, signal structure, and metric",Similar linear,Single linear signal,0.7,Average precision,1000,logreg_l1_c01,967,96.7,logreg_l2_c003,1.1,7,1.07
"Winner concentration by library, signal structure, and metric",Similar linear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),1000,logreg_l1_c01,914,91.4,logreg_l2_c003,2.6,7,1.19
"Winner concentration by library, signal structure, and metric",Similar linear,Single linear signal,0.7,AUROC,1000,logreg_l1_c01,987,98.7,Elastic-net logistic regression,0.5,6,1.03
"Winner concentration by library, signal structure, and metric",Similar linear,XOR interaction signal,0.5,Average precision,1000,logreg_l1_c01,452,45.2,logreg_l2_c003,16.3,7,3.67
"Winner concentration by library, signal structure, and metric",Similar linear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),1000,logreg_l1_c01,460,46,logreg_l2_c003,16.9,7,3.61
"Winner concentration by library, signal structure, and metric",Similar linear,XOR interaction signal,0.5,AUROC,1000,logreg_l1_c01,457,45.7,logreg_l2_c003,17.1,7,3.55
"Winner concentration by library, signal structure, and metric",Similar linear,XOR interaction signal,0.6,Average precision,1000,logreg_l1_c01,436,43.6,logreg_l2_c003,16,7,3.9
"Winner concentration by library, signal structure, and metric",Similar linear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),1000,logreg_l1_c01,458,45.8,logreg_l2_c003,17.5,7,3.64
"Winner concentration by library, signal structure, and metric",Similar linear,XOR interaction signal,0.6,AUROC,1000,logreg_l1_c01,440,44,logreg_l2_c003,19.7,7,3.66
"Winner concentration by library, signal structure, and metric",Similar linear,XOR interaction signal,0.7,Average precision,1000,logreg_l1_c01,416,41.6,linear_svm_c1,16.4,7,4.05
"Winner concentration by library, signal structure, and metric",Similar linear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),1000,logreg_l1_c01,397,39.7,logreg_l2_c003,16.5,7,4.27
"Winner concentration by library, signal structure, and metric",Similar linear,XOR interaction signal,0.7,AUROC,1000,logreg_l1_c01,458,45.8,logreg_l2_c003,16.4,7,3.54
