Feature selection,Selection events,Candidate models,Metric,Method,N,"Type I error, %","Monte Carlo 95% interval, %",Mean selection metric,Mean test metric,Mean optimism
LASSO,100,7,Average precision,Bonferroni empirical,2000,3.0,2.25–3.75,0.1107,0.1002,0.0104
LASSO,100,7,Average precision,Naive empirical,2000,19.45,17.72–21.18,0.1107,0.1002,0.0104
None,20,1,Average precision,Pipeline max-statistic,2000,5.25,4.27–6.23,0.1221,0.1004,0.0217
None,20,1,Average precision,Bonferroni empirical,2000,5.25,4.27–6.23,0.1221,0.1004,0.0217
None,20,1,Average precision,Naive empirical,2000,5.25,4.27–6.23,0.1221,0.1004,0.0217
None,20,3,Average precision,Pipeline max-statistic,2000,5.25,4.27–6.23,0.14,0.1004,0.0396
None,20,3,Average precision,Bonferroni empirical,2000,4.9,3.95–5.85,0.14,0.1004,0.0396
None,20,3,Average precision,Naive empirical,2000,12.65,11.19–14.11,0.14,0.1004,0.0396
None,20,7,Average precision,Pipeline max-statistic,2000,4.45,3.55–5.35,0.1553,0.1004,0.055
None,20,7,Average precision,Bonferroni empirical,2000,3.5,2.69–4.31,0.1553,0.1004,0.055
None,20,7,Average precision,Naive empirical,2000,20.65,18.88–22.42,0.1553,0.1004,0.055
None,100,1,Average precision,Pipeline max-statistic,2000,4.6,3.68–5.52,0.1061,0.1004,0.0057
None,100,1,Average precision,Bonferroni empirical,2000,4.6,3.68–5.52,0.1061,0.1004,0.0057
None,100,1,Average precision,Naive empirical,2000,4.6,3.68–5.52,0.1061,0.1004,0.0057
None,100,3,Average precision,Pipeline max-statistic,2000,5.1,4.14–6.06,0.1124,0.1004,0.012
None,100,3,Average precision,Bonferroni empirical,2000,4.8,3.86–5.74,0.1124,0.1004,0.012
None,100,3,Average precision,Naive empirical,2000,12.3,10.86–13.74,0.1124,0.1004,0.012
None,100,7,Average precision,Pipeline max-statistic,2000,5.15,4.18–6.12,0.1172,0.1004,0.0168
None,100,7,Average precision,Bonferroni empirical,2000,3.5,2.69–4.31,0.1172,0.1004,0.0168
None,100,7,Average precision,Naive empirical,2000,20.5,18.73–22.27,0.1172,0.1004,0.0168
LASSO,20,1,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,4.05,3.19–4.91,0.5008,0.5,0.0007
LASSO,20,1,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,4.05,3.19–4.91,0.5008,0.5,0.0007
LASSO,20,1,Partial AUROC (FPR ≤0.10),Naive empirical,2000,4.05,3.19–4.91,0.5008,0.5,0.0007
LASSO,20,3,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,4.2,3.32–5.08,0.5108,0.5001,0.0108
LASSO,20,3,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,3.75,2.92–4.58,0.5108,0.5001,0.0108
LASSO,20,3,Partial AUROC (FPR ≤0.10),Naive empirical,2000,10.8,9.44–12.16,0.5108,0.5001,0.0108
LASSO,20,7,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,4.3,3.41–5.19,0.5165,0.5,0.0165
LASSO,20,7,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,3.05,2.30–3.80,0.5165,0.5,0.0165
LASSO,20,7,Partial AUROC (FPR ≤0.10),Naive empirical,2000,17.95,16.27–19.63,0.5165,0.5,0.0165
LASSO,100,1,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,4.95,4.00–5.90,0.5002,0.5,0.0002
LASSO,100,1,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,4.95,4.00–5.90,0.5002,0.5,0.0002
LASSO,100,1,Partial AUROC (FPR ≤0.10),Naive empirical,2000,4.95,4.00–5.90,0.5002,0.5,0.0002
LASSO,100,3,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,5.4,4.41–6.39,0.5049,0.5001,0.0048
LASSO,100,3,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,5.05,4.09–6.01,0.5049,0.5001,0.0048
LASSO,100,3,Partial AUROC (FPR ≤0.10),Naive empirical,2000,12.55,11.10–14.00,0.5049,0.5001,0.0048
LASSO,100,7,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,5.3,4.32–6.28,0.5072,0.5,0.0072
LASSO,100,7,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,3.75,2.92–4.58,0.5072,0.5,0.0072
LASSO,100,7,Partial AUROC (FPR ≤0.10),Naive empirical,2000,19.2,17.47–20.93,0.5072,0.5,0.0072
None,20,1,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,5.25,4.27–6.23,0.5016,0.5,0.0016
None,20,1,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,5.25,4.27–6.23,0.5016,0.5,0.0016
None,20,1,Partial AUROC (FPR ≤0.10),Naive empirical,2000,5.25,4.27–6.23,0.5016,0.5,0.0016
None,20,3,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,4.5,3.59–5.41,0.5183,0.5,0.0183
None,20,3,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,4.5,3.59–5.41,0.5183,0.5,0.0183
None,20,3,Partial AUROC (FPR ≤0.10),Naive empirical,2000,12.95,11.48–14.42,0.5183,0.5,0.0183
None,20,7,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,4.6,3.68–5.52,0.5279,0.5001,0.0278
None,20,7,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,3.35,2.56–4.14,0.5279,0.5001,0.0278
None,20,7,Partial AUROC (FPR ≤0.10),Naive empirical,2000,21.4,19.60–23.20,0.5279,0.5001,0.0278
None,100,1,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,5.55,4.55–6.55,0.5006,0.5,0.0006
None,100,1,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,5.55,4.55–6.55,0.5006,0.5,0.0006
None,100,1,Partial AUROC (FPR ≤0.10),Naive empirical,2000,5.55,4.55–6.55,0.5006,0.5,0.0006
None,100,3,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,5.4,4.41–6.39,0.508,0.5001,0.0079
None,100,3,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,5.05,4.09–6.01,0.508,0.5001,0.0079
None,100,3,Partial AUROC (FPR ≤0.10),Naive empirical,2000,14.3,12.77–15.83,0.508,0.5001,0.0079
None,100,7,Partial AUROC (FPR ≤0.10),Pipeline max-statistic,2000,5.3,4.32–6.28,0.5119,0.5001,0.0118
None,100,7,Partial AUROC (FPR ≤0.10),Bonferroni empirical,2000,4.2,3.32–5.08,0.5119,0.5001,0.0118
None,100,7,Partial AUROC (FPR ≤0.10),Naive empirical,2000,22.6,20.77–24.43,0.5119,0.5001,0.0118
