Library,Signal structure,Target oracle AUROC,Metric,Winning model,Winner count,"Winner proportion, %"
Similar linear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,20,2
Similar linear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),linear_svm_c1,15,1.5
Similar linear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),logreg_l1_c01,914,91.4
Similar linear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),logreg_l2_c003,26,2.6
Similar linear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),logreg_l2_c01,5,0.5
Similar linear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),logreg_l2_c1,3,0.3
Similar linear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),logreg_l2_c10,17,1.7
Similar linear,Single linear signal,0.7,AUROC,Elastic-net logistic regression,5,0.5
Similar linear,Single linear signal,0.7,AUROC,linear_svm_c1,1,0.1
Similar linear,Single linear signal,0.7,AUROC,logreg_l1_c01,987,98.7
Similar linear,Single linear signal,0.7,AUROC,logreg_l2_c003,4,0.4
Similar linear,Single linear signal,0.7,AUROC,logreg_l2_c01,1,0.1
Similar linear,Single linear signal,0.7,AUROC,logreg_l2_c10,2,0.2
Similar linear,XOR interaction signal,0.5,Average precision,Elastic-net logistic regression,69,6.9
Similar linear,XOR interaction signal,0.5,Average precision,linear_svm_c1,147,14.7
Similar linear,XOR interaction signal,0.5,Average precision,logreg_l1_c01,452,45.2
Similar linear,XOR interaction signal,0.5,Average precision,logreg_l2_c003,163,16.3
Similar linear,XOR interaction signal,0.5,Average precision,logreg_l2_c01,28,2.8
Similar linear,XOR interaction signal,0.5,Average precision,logreg_l2_c1,22,2.2
Similar linear,XOR interaction signal,0.5,Average precision,logreg_l2_c10,119,11.9
Similar linear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,101,10.1
Similar linear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),linear_svm_c1,108,10.8
Similar linear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),logreg_l1_c01,460,46
Similar linear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),logreg_l2_c003,169,16.9
Similar linear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),logreg_l2_c01,19,1.9
Similar linear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),logreg_l2_c1,25,2.5
Similar linear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),logreg_l2_c10,118,11.8
Similar linear,XOR interaction signal,0.5,AUROC,Elastic-net logistic regression,89,8.9
Similar linear,XOR interaction signal,0.5,AUROC,linear_svm_c1,138,13.8
Similar linear,XOR interaction signal,0.5,AUROC,logreg_l1_c01,457,45.7
Similar linear,XOR interaction signal,0.5,AUROC,logreg_l2_c003,171,17.1
Similar linear,XOR interaction signal,0.5,AUROC,logreg_l2_c01,10,1
Similar linear,XOR interaction signal,0.5,AUROC,logreg_l2_c1,7,0.7
Similar linear,XOR interaction signal,0.5,AUROC,logreg_l2_c10,128,12.8
Similar linear,XOR interaction signal,0.6,Average precision,Elastic-net logistic regression,82,8.2
Similar linear,XOR interaction signal,0.6,Average precision,linear_svm_c1,134,13.4
Similar linear,XOR interaction signal,0.6,Average precision,logreg_l1_c01,436,43.6
Similar linear,XOR interaction signal,0.6,Average precision,logreg_l2_c003,160,16
Similar linear,XOR interaction signal,0.6,Average precision,logreg_l2_c01,40,4
Similar linear,XOR interaction signal,0.6,Average precision,logreg_l2_c1,32,3.2
Similar linear,XOR interaction signal,0.6,Average precision,logreg_l2_c10,116,11.6
Similar linear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,72,7.2
Similar linear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),linear_svm_c1,124,12.4
Similar linear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),logreg_l1_c01,458,45.8
Similar linear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),logreg_l2_c003,175,17.5
Similar linear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),logreg_l2_c01,29,2.9
Similar linear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),logreg_l2_c1,32,3.2
Similar linear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),logreg_l2_c10,110,11
Similar linear,XOR interaction signal,0.6,AUROC,Elastic-net logistic regression,77,7.7
Similar linear,XOR interaction signal,0.6,AUROC,linear_svm_c1,125,12.5
Similar linear,XOR interaction signal,0.6,AUROC,logreg_l1_c01,440,44
Similar linear,XOR interaction signal,0.6,AUROC,logreg_l2_c003,197,19.7
Similar linear,XOR interaction signal,0.6,AUROC,logreg_l2_c01,10,1
Similar linear,XOR interaction signal,0.6,AUROC,logreg_l2_c1,12,1.2
Similar linear,XOR interaction signal,0.6,AUROC,logreg_l2_c10,139,13.9
Similar linear,XOR interaction signal,0.7,Average precision,Elastic-net logistic regression,92,9.2
Similar linear,XOR interaction signal,0.7,Average precision,linear_svm_c1,164,16.4
Similar linear,XOR interaction signal,0.7,Average precision,logreg_l1_c01,416,41.6
Similar linear,XOR interaction signal,0.7,Average precision,logreg_l2_c003,134,13.4
Similar linear,XOR interaction signal,0.7,Average precision,logreg_l2_c01,28,2.8
Similar linear,XOR interaction signal,0.7,Average precision,logreg_l2_c1,29,2.9
Similar linear,XOR interaction signal,0.7,Average precision,logreg_l2_c10,137,13.7
Similar linear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,99,9.9
Similar linear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),linear_svm_c1,143,14.3
Similar linear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),logreg_l1_c01,397,39.7
Similar linear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),logreg_l2_c003,165,16.5
Similar linear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),logreg_l2_c01,31,3.1
Similar linear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),logreg_l2_c1,36,3.6
Similar linear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),logreg_l2_c10,129,12.9
Similar linear,XOR interaction signal,0.7,AUROC,Elastic-net logistic regression,65,6.5
Similar linear,XOR interaction signal,0.7,AUROC,linear_svm_c1,149,14.9
Similar linear,XOR interaction signal,0.7,AUROC,logreg_l1_c01,458,45.8
Similar linear,XOR interaction signal,0.7,AUROC,logreg_l2_c003,164,16.4
Similar linear,XOR interaction signal,0.7,AUROC,logreg_l2_c01,12,1.2
Similar linear,XOR interaction signal,0.7,AUROC,logreg_l2_c1,13,1.3
Similar linear,XOR interaction signal,0.7,AUROC,logreg_l2_c10,139,13.9
