Library,Signal structure,Target oracle AUROC,Metric,Winning model,Winner count,"Winner proportion, %"
Expanded nonlinear,XOR interaction signal,0.5,Average precision,Tuned random forest,141,14.1
Expanded nonlinear,XOR interaction signal,0.5,Average precision,rbf_svm_c3,130,13
Expanded nonlinear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,135,13.5
Expanded nonlinear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Extra trees,136,13.6
Expanded nonlinear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Gradient boosting,125,12.5
Expanded nonlinear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Tuned histogram gradient boosting,133,13.3
Expanded nonlinear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Multilayer perceptron,192,19.2
Expanded nonlinear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Tuned random forest,137,13.7
Expanded nonlinear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),rbf_svm_c3,142,14.2
Expanded nonlinear,XOR interaction signal,0.5,AUROC,Elastic-net logistic regression,123,12.3
Expanded nonlinear,XOR interaction signal,0.5,AUROC,Extra trees,119,11.9
Expanded nonlinear,XOR interaction signal,0.5,AUROC,Gradient boosting,122,12.2
Expanded nonlinear,XOR interaction signal,0.5,AUROC,Tuned histogram gradient boosting,108,10.8
Expanded nonlinear,XOR interaction signal,0.5,AUROC,Multilayer perceptron,232,23.2
Expanded nonlinear,XOR interaction signal,0.5,AUROC,Tuned random forest,167,16.7
Expanded nonlinear,XOR interaction signal,0.5,AUROC,rbf_svm_c3,129,12.9
Expanded nonlinear,XOR interaction signal,0.6,Average precision,Elastic-net logistic regression,94,9.4
Expanded nonlinear,XOR interaction signal,0.6,Average precision,Extra trees,108,10.8
Expanded nonlinear,XOR interaction signal,0.6,Average precision,Gradient boosting,115,11.5
Expanded nonlinear,XOR interaction signal,0.6,Average precision,Tuned histogram gradient boosting,147,14.7
Expanded nonlinear,XOR interaction signal,0.6,Average precision,Multilayer perceptron,215,21.5
Expanded nonlinear,XOR interaction signal,0.6,Average precision,Tuned random forest,157,15.7
Expanded nonlinear,XOR interaction signal,0.6,Average precision,rbf_svm_c3,164,16.4
Expanded nonlinear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,117,11.7
Expanded nonlinear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Extra trees,117,11.7
Expanded nonlinear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Gradient boosting,136,13.6
Expanded nonlinear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Tuned histogram gradient boosting,147,14.7
Expanded nonlinear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Multilayer perceptron,199,19.9
Expanded nonlinear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Tuned random forest,152,15.2
Expanded nonlinear,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),rbf_svm_c3,132,13.2
Expanded nonlinear,XOR interaction signal,0.6,AUROC,Elastic-net logistic regression,91,9.1
Expanded nonlinear,XOR interaction signal,0.6,AUROC,Extra trees,112,11.2
Expanded nonlinear,XOR interaction signal,0.6,AUROC,Gradient boosting,100,10
Expanded nonlinear,XOR interaction signal,0.6,AUROC,Tuned histogram gradient boosting,140,14
Expanded nonlinear,XOR interaction signal,0.6,AUROC,Multilayer perceptron,230,23
Expanded nonlinear,XOR interaction signal,0.6,AUROC,Tuned random forest,159,15.9
Expanded nonlinear,XOR interaction signal,0.6,AUROC,rbf_svm_c3,168,16.8
Expanded nonlinear,XOR interaction signal,0.7,Average precision,Elastic-net logistic regression,68,6.8
Expanded nonlinear,XOR interaction signal,0.7,Average precision,Extra trees,92,9.2
Expanded nonlinear,XOR interaction signal,0.7,Average precision,Gradient boosting,127,12.7
