dgp,alpha,initial_reference_size,largest_reference_size,initial_standardized_rms,largest_standardized_rms,relative_change,decreased,not_increased_over_25_percent
transparent_k3,0.01,500,3000,0.5354256729530377,0.2278404845054804,-0.5744685097954495,1,1
transparent_k3,0.05,500,3000,0.23676316481867746,0.1039514008485957,-0.5609477473904956,1,1
transparent_k3,0.1,500,3000,0.17488168884486716,0.07048516118397137,-0.596955166378243,1,1
gain_coupled_k20,0.01,500,3000,0.5997478935733287,0.2689662957028844,-0.5515344053976257,1,1
gain_coupled_k20,0.05,500,3000,0.23136080669998135,0.0926522211588825,-0.5995336354483329,1,1
gain_coupled_k20,0.1,500,3000,0.1784967917041373,0.07559719272420391,-0.5764787030485787,1,1
loss_coupled_k20,0.01,500,3000,0.6171919064645957,0.2944760569190144,-0.522877643347861,1,1
loss_coupled_k20,0.05,500,3000,0.24919604761646455,0.11343559844999655,-0.5447937495999765,1,1
loss_coupled_k20,0.1,500,3000,0.17379157019097746,0.07664862421815806,-0.558962358565897,1,1
