library,mapping_status,alpha,candidate_order,candidate,trigger_threshold,regular_quantile_threshold,regular_quantile_index_zero_based,plus_one_threshold,plus_one_index_zero_based,plus_one_attainable,plus_one_minus_regular_threshold,candidate_minus_trigger_gap,absolute_gap,exact_coincidence,candidate_threshold_tie_count,candidate_threshold_tie_mass,candidate_lower_spacing,candidate_upper_spacing,trigger_lower_spacing,trigger_upper_spacing,gap_in_local_score_spacings,regularity_classification
high_dependency_linear_20,historical_surrogate_20_candidate,0.2,1,logreg_l2_c003,0.5118555555555555,0.5255222222222222,7999,0.5255333333333334,8000,True,1.1111111111183902e-05,0.013666666666666716,0.013666666666666716,False,3,0.0003,1.111111111107288e-05,1.1111111111183902e-05,1.111111111107288e-05,1.1102230246251565e-16,123098389814794.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.2,2,logreg_l2_c01,0.5118555555555555,0.5256222222222222,7999,0.5256666666666666,8000,True,4.444444444440254e-05,0.013766666666666705,0.013766666666666705,False,1,0.0001,2.222222222214576e-05,4.444444444440254e-05,1.111111111107288e-05,1.1102230246251565e-16,123999109740268.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.2,3,logreg_l2_c1,0.5118555555555555,0.5254888888888889,7999,0.5255111111111112,8000,True,2.2222222222256782e-05,0.013633333333333386,0.013633333333333386,False,1,0.0001,1.1111111111183902e-05,2.2222222222256782e-05,1.111111111107288e-05,1.1102230246251565e-16,122798149839636.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.2,4,logreg_l2_c10,0.5118555555555555,0.5255333333333333,7999,0.5255333333333334,8000,True,1.1102230246251565e-16,0.013677777777777789,0.013677777777777789,False,2,0.0002,1.111111111107288e-05,1.1102230246251565e-16,1.111111111107288e-05,1.1102230246251565e-16,123198469806513.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.2,5,logreg_l1_c01,0.5118555555555555,0.5253388888888889,7999,0.5253444444444444,8000,True,5.555555555480929e-06,0.013483333333333403,0.013483333333333403,False,1,0.0001,5.555555555480929e-06,5.555555555480929e-06,1.111111111107288e-05,1.1102230246251565e-16,121447069951425.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.2,6,elastic_net_logreg,0.5118555555555555,0.5256111111111111,7999,0.5256111111111111,8000,True,0.0,0.013755555555555632,0.013755555555555632,False,2,0.0002,1.1111111111183902e-05,1.111111111107288e-05,1.111111111107288e-05,1.1102230246251565e-16,123899029748549.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.2,7,linear_svm_c1,0.5118555555555555,0.5256,7999,0.5256111111111111,8000,True,1.1111111111183902e-05,0.013744444444444448,0.013744444444444448,False,1,0.0001,1.111111111107288e-05,1.1111111111183902e-05,1.111111111107288e-05,1.1102230246251565e-16,123798949756829.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.1,1,logreg_l2_c003,0.5118555555555555,0.5385,8999,0.5385444444444445,9000,True,4.4444444444513564e-05,0.02664444444444447,0.02664444444444447,False,1,0.0001,1.111111111107288e-05,4.4444444444513564e-05,1.111111111107288e-05,1.1102230246251565e-16,239991820142988.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.1,2,logreg_l2_c01,0.5118555555555555,0.5385444444444445,8999,0.5385555555555556,9000,True,1.111111111107288e-05,0.026688888888888984,0.026688888888888984,False,1,0.0001,1.1111111111183902e-05,1.111111111107288e-05,1.111111111107288e-05,1.1102230246251565e-16,240392140109866.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.1,3,logreg_l2_c1,0.5118555555555555,0.5385333333333333,8999,0.5385555555555556,9000,True,2.2222222222256782e-05,0.0266777777777778,0.0266777777777778,False,1,0.0001,2.222222222214576e-05,2.2222222222256782e-05,1.111111111107288e-05,1.1102230246251565e-16,240292060118146.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.1,4,logreg_l2_c10,0.5118555555555555,0.5385111111111112,8999,0.5385111111111112,9000,True,0.0,0.026655555555555654,0.026655555555555654,False,3,0.0003,8.88888888889161e-05,4.444444444429152e-05,1.111111111107288e-05,1.1102230246251565e-16,240091900134708.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.1,5,logreg_l1_c01,0.5118555555555555,0.5381111111111112,8999,0.5381222222222222,9000,True,1.1111111110961858e-05,0.0262555555555557,0.0262555555555557,False,1,0.0001,1.1102230246251565e-16,1.1111111110961858e-05,1.111111111107288e-05,1.1102230246251565e-16,236489020432812.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.1,6,elastic_net_logreg,0.5118555555555555,0.5385222222222222,8999,0.5385333333333334,9000,True,1.1111111111183902e-05,0.026666666666666727,0.026666666666666727,False,1,0.0001,4.4444444444513564e-05,1.1111111111183902e-05,1.111111111107288e-05,1.1102230246251565e-16,240191980126427.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.1,7,linear_svm_c1,0.5118555555555555,0.5383444444444445,8999,0.5383666666666667,9000,True,2.222222222214576e-05,0.026488888888889006,0.026488888888889006,False,2,0.0002,2.222222222214576e-05,2.222222222214576e-05,1.111111111107288e-05,1.1102230246251565e-16,238590700258918.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.05,1,logreg_l2_c003,0.5118555555555555,0.5500222222222222,9499,0.5500222222222222,9500,True,0.0,0.03816666666666668,0.03816666666666668,False,2,0.0002,5.5555555555586444e-05,1.1102230246251565e-16,1.111111111107288e-05,1.1102230246251565e-16,343774771555948.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.05,2,logreg_l2_c01,0.5118555555555555,0.5498888888888889,9499,0.5499,9500,True,1.1111111111183902e-05,0.03803333333333336,0.03803333333333336,False,2,0.0002,2.222222222214576e-05,1.1111111111183902e-05,1.111111111107288e-05,1.1102230246251565e-16,342573811655316.0,empirically_separated
