library,mapping_status,raw_bank_path,raw_bank_sha256,manifest_expected_sha256,manifest_hash_match,reference_replications,bank_candidate_count,manifest_base_candidate_count,manifest_full_candidate_count,missing_full_candidates,base_winner_tie_count,base_winner_tie_rate,target_expansion_probability,trigger_threshold,strictly_above_count,tie_count,tie_mass,tie_probability,strict_activation_rate,expected_activation_rate,lower_spacing,upper_spacing,stored_trigger_threshold,stored_trigger_tie_probability,stored_threshold_match,stored_tie_probability_match
high_dependency_linear_20,historical_surrogate_20_candidate,/Users/sendaatsushi/Documents/pipeline-aware/pipeline-aware-inference/results_phase3c/public_release/frozen_raw_sanitized/high_dependency_linear_20/pipeline_phase3_quick_20260724_133334/null_reference_model_metrics.csv,ddf6d4fc37d1388b24fd35e4c785ef1e4851f6695cc756726245695f2efda35b,88ec92a072e08861e8fe2b5072f66e6312b2a57bb4a133c3d134128264be2ccb,False,10000,20,7,20,,12,0.0012,0.5,0.5118555555555555,5000,1,0.0001,0.0,0.5,0.5,1.111111111107288e-05,1.1102230246251565e-16,0.5125333333333334,1.0,False,False
mixed_realistic_20,historical_surrogate_20_candidate,/Users/sendaatsushi/Documents/pipeline-aware/pipeline-aware-inference/results_phase3c/public_release/frozen_raw_sanitized/mixed_realistic_20/pipeline_phase3_quick_20260724_141555/null_reference_model_metrics.csv,ba195e6d2c30d46b7ea1e0796a15dae5a789f5cc31edff2c2e471ad8b4a768fc,d0989d69a16cc12e7317224dd517f28ea4e82c12c98d41e90cc8b29cdde8410b,False,10000,20,7,20,,4,0.0004,0.5,0.5283444444444445,5000,1,0.0001,0.0,0.5,0.5,1.1102230246251565e-16,5.555555555480929e-06,0.5285444444444444,1.0,False,False
