replication,seed,roc_auc,average_precision,pauc_fpr_0_10
1,1247279049,0.7394306833372649,0.4764529409797355,0.577341561026889
2,575847221,0.7470598411575058,0.4868044119006467,0.5732773783952687
3,2452910289,0.7390044821891957,0.4724851201714867,0.5692380278367539
4,3411969163,0.7460706141385547,0.4887940605645925,0.5743617122542142
5,1160498617,0.7462467563104505,0.4952061686998115,0.5807849418308687
6,3695282143,0.739858457183298,0.47326905238499517,0.5755784838363898
7,635337828,0.7370527640166706,0.47653567031272437,0.581885830405218
8,818799842,0.7507493905795392,0.48754150765580345,0.5776643779772621
9,1370384211,0.7364708657702288,0.4695020639466513,0.5707031201499857
10,2686250009,0.7381505071950933,0.46932919796325034,0.574312048108003
11,1306730845,0.7405944798301486,0.4786295880434014,0.572068884170795
12,3952713435,0.7369505386490527,0.4862018848552287,0.578525223178257
13,2741695309,0.7373091137846977,0.4689971626620645,0.5688489920247659
14,1732426939,0.7413147754973658,0.47577929689335585,0.5752887763168242
15,3220911416,0.7442179759377211,0.4717726206742132,0.5744279311158292
16,102035506,0.7429975623181568,0.47737697145674923,0.5746265877006742
17,3721855887,0.7411543603051034,0.46581639207377445,0.5728138463639637
18,3699044261,0.7438609735000392,0.47511482020276186,0.5790053099249657
19,914731488,0.7405991979240387,0.46682144209053356,0.57081072580011
20,3666386505,0.7338224423999372,0.4721147496946556,0.5748666310740286
21,709178618,0.7385562632696391,0.473911383025454,0.5738154066458905
22,1231385432,0.7466934025320437,0.48109091849365637,0.5772256780190628
23,2384446116,0.742327592985767,0.468393367822199,0.5727310727869449
24,1590281819,0.736370213100574,0.48052304351331865,0.574767302781606
25,836769115,0.7371172446331683,0.47258433099881125,0.5716384615702975
26,935260516,0.7343728866871119,0.46476844601676387,0.57134047669303
27,3044832985,0.7382653141464183,0.48103327824604936,0.5768531969224784
28,3468174108,0.7413084847055124,0.4866732222357455,0.5835826887341024
29,812972128,0.7336148462687739,0.45886547462671257,0.5689317656017846
30,4197877224,0.7464763702131005,0.4856573440889296,0.5781279100085671
31,2010708840,0.7438389557285523,0.49929073907912924,0.5831770982067105
32,1260431569,0.7439757804513644,0.4871978672937206,0.5778299251312996
33,2169793229,0.7384493198081309,0.4722093559325722,0.5742375518886861
34,3522205761,0.7390500904301329,0.48703114654555457,0.5754046593246503
35,1832262014,0.7409813635291342,0.47136260631621557,0.5705044635651407
36,1927610767,0.7469167256428403,0.4696617469748819,0.569627063648742
37,2338976871,0.7342565070378233,0.46456775292550473,0.5676322204425903
38,1005733996,0.7411150428560196,0.4733061711067509,0.5762737818833472
39,387842874,0.7420539435401431,0.4723750705259191,0.5769028610686897
40,723920769,0.741939136588818,0.4715491779234203,0.5707941710847063
41,481307703,0.7365259101989463,0.47065142201591237,0.5729793935180012
42,624114181,0.7403444208539749,0.47093268317633713,0.5725075841289944
43,452568434,0.7424974443658097,0.4733370634016664,0.5665809960144522
44,881953385,0.7376047810018086,0.48012206566293364,0.5767952554185652
45,3013418517,0.7371707163639223,0.4703572722080201,0.5763068913141547
46,3575398647,0.7405583077769915,0.4746449562024263,0.5733518746145856
47,536842656,0.7352740426201148,0.4601917435516367,0.570289252264892
48,2415480353,0.740136824722812,0.4774236212607803,0.5765717667606147
49,2786942594,0.7323346701266024,0.4683443310057844,0.57213510303241
50,3792371421,0.7378988755209562,0.46854478009894407,0.5738816255075055
51,3811675053,0.7477785641267595,0.47335797353513887,0.5722095992517269
52,2180688410,0.744980734449949,0.4807564046417597,0.5755453744055823
53,263143930,0.7338601871510577,0.4738353272609711,0.5783182892357102
54,3046278604,0.7377070063694267,0.4591074764749049,0.5673756223538322
55,796730381,0.740278367539514,0.4657264240755291,0.5716632936434032
56,3665275268,0.7434898167806873,0.47034064491265276,0.5730952765258275
57,1945272669,0.732550129747582,0.47620574458387965,0.5736415821341512
58,2856463834,0.7381379256113862,0.4686833249383484,0.5711583748235888
59,3478094386,0.7373264134622945,0.47573874917069514,0.5705044635651407
60,1694546017,0.7407659039081544,0.4795470786043432,0.5728800652255787
61,2007519788,0.7471730754108674,0.47700147073588767,0.5755702064786878
62,1446601050,0.7325359754659116,0.45939972570633747,0.5726400218522243
63,207875068,0.7434835259888338,0.4706195945857797,0.5734098161184986
64,3882688571,0.7380309821498781,0.47990862772468423,0.579518506102482
65,2886198115,0.7421435873240545,0.4799035015458073,0.5795516155332895
66,2224566294,0.7369568294409059,0.47770119027557917,0.5734429255493061
67,1364348021,0.7386600613352206,0.4799669946829792,0.5726482992099262
68,1676577022,0.7372116065109696,0.47378096790856844,0.5747176386353948
69,2211439076,0.7459778249587168,0.4862720487196116,0.5723834237634663
70,1960497157,0.736304159786113,0.4632319687469366,0.5713984181969431
71,839031334,0.7340662105842573,0.4705908922686122,0.5732856557529705
72,4205335787,0.741704804592278,0.48413163956729927,0.578591442039872
73,1282827547,0.7415066446488952,0.47231279866280707,0.5720937162439006
74,3038408998,0.7392781316348195,0.47267144513064396,0.5732773783952687
