library,nominal_candidate_count,local_alpha,null_repetitions,naive_rejections,naive_rejection_rate,tail_ess,tail_ess_low_95,tail_ess_high_95,participation_ratio_count,tail_minus_participation_ratio,tail_to_participation_ratio
high_dependency_linear_20,7,0.05,2000,182,0.091,1.8600907963481332,1.607940448180397,2.149651242485079,1.1986546495464376,0.6614361468016956,1.5518154432988505
high_dependency_linear_20,20,0.05,2000,197,0.0985,2.021613888850412,1.757409844033837,2.323228031636194,1.214799869162391,0.8068140196880209,1.6641538579060946
mixed_realistic_20,7,0.05,2000,384,0.192,4.156356557062669,3.758346957468309,4.5917762546262395,3.090995768817687,1.0653607882449818,1.3446658837234464
mixed_realistic_20,20,0.05,2000,597,0.2985,6.91190502916246,6.373228809750484,7.487991346543642,3.581430227015328,3.330474802147132,1.929928713122708
