dgp,alpha,trigger_regime,reference_size,evaluation_size,outer_repetitions,true_delta_pi,mean_delta_pi,bias_delta_pi,standardized_bias_delta_pi,empirical_variance_delta_pi,exact_variance_delta_pi,empirical_to_exact_variance_ratio_delta_pi,normal_coverage_delta_pi,true_delta_s,mean_delta_s,bias_delta_s,standardized_bias_delta_s,empirical_variance_delta_s,exact_variance_delta_s,empirical_to_exact_variance_ratio_delta_s,normal_coverage_delta_s,bridge_rms_delta_pi,bridge_rms_to_empirical_sd_delta_pi,bridge_rms_delta_s,bridge_rms_to_empirical_sd_delta_s,strict_sign_reversal_frequency_delta_pi,strict_sign_reversal_frequency_delta_s,mean_interval_union_probability,mean_pathwise_disagreement_probability
gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,1000,1000,2000,-0.03369333679716002,-0.033685487,7.849797160022765e-06,0.002112308286893845,1.392717862314257e-05,1.381027299594863e-05,1.0084651206553437,0.95,-0.5000382607667793,-0.5021401972913498,-0.00210193652457058,-0.032666466257346566,0.004184123059331629,0.0041403292667258566,1.0105773695241402,0.9555,0.0004150913128457404,0.11122747327756845,0.006323333526771018,0.09775609953491168,0.0,0.0,0.019572000000000003,0.004063000000000001
gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,3000,2000,-0.03369333679716002,-0.033768062333333335,-7.472553617331179e-05,-0.034827999971812615,4.610126708962862e-06,4.603424331982877e-06,1.001455954632168,0.949,-0.5000382607667793,-0.5023620783791333,-0.0023238176123540066,-0.06255257986026161,0.0013863337464039911,0.0013801097555752853,1.0045097796052542,0.9505,0.00013681608965647595,0.0637207300139835,0.0021339929494548354,0.05731378400993589,0.0,0.0,0.006676166666666667,0.0013621666666666665
gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,5000,2000,-0.03369333679716002,-0.0337033231,-9.986302839978811e-06,-0.005326186293578924,3.4671066918667252e-06,3.51541627461119e-06,0.9862577916893192,0.949,-0.5000382607667793,-0.500605080279545,-0.000566819512765715,-0.017283477937136884,0.0010720256383166705,0.0010755418300802137,0.9967307717234196,0.951,0.00011005563611555804,0.05910560746708473,0.0017502502968161158,0.053456137327860344,0.0,0.0,0.0065506,0.0013506
gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,5000,5000,2000,-0.03369333679716002,-0.033720043139999996,-2.670634283997303e-05,-0.016069349268206648,2.6109154735357072e-06,2.762054599189726e-06,0.9452801817537,0.9545,-0.5000382607667793,-0.5009583250665645,-0.0009200642997851949,-0.03197317329109913,0.0007764247639667643,0.0008280658533451712,0.9376364945254169,0.9545,8.614052086213574e-05,0.05331029520371751,0.0013323648315898163,0.047816025166933895,0.0,0.0,0.0039978,0.0008253999999999999
gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,1000,1000,2000,-0.010501994133259973,-0.011230480999999997,-0.0007284868667400239,-0.10510802801909601,4.551056961744771e-05,4.8036535433351125e-05,0.9474157369361473,0.9585,-0.1681272352110943,-0.18169935144655142,-0.013572116235457121,-0.1203488174228652,0.012314106705643367,0.012717785227354308,0.9682587404572078,0.953,0.0012661148834130335,0.18767956078084475,0.020873494193246418,0.18810212383816796,0.018,0.018,0.019415,0.003973000000000001
gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,3000,2000,-0.010501994133259973,-0.010705828333333332,-0.00020383420007335888,-0.05093916740847368,1.5678191937622827e-05,1.6012178477783708e-05,0.9791417176229783,0.9565,-0.1681272352110943,-0.17187786844306652,-0.0037506332319722224,-0.057604907211001255,0.004172608382113388,0.0042392617424514365,0.9842771302204367,0.955,0.0004333587491406981,0.10944592107910932,0.007118612405686731,0.11020252213023765,0.0005,0.0005,0.0065520000000000005,0.001359
gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,5000,2000,-0.010501994133259973,-0.01067718554,-0.00017519140674002696,-0.050691679984769,1.183599492209275e-05,1.1944066997121266e-05,0.9909518194217628,0.9525,-0.1681272352110943,-0.17127095506170922,-0.003143719850614929,-0.05574407313583332,0.0031547068570095863,0.0031804624846786026,0.9919019237632608,0.9515,0.00039401077893478904,0.1145264286047098,0.006491499705114999,0.11557543503236656,0.0,0.0,0.0065548,0.001335
gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,5000,5000,2000,-0.010501994133259973,-0.01045674534,4.52487932599728e-05,0.01459843045131094,9.640684097601084e-06,9.607307086670225e-06,1.003474127622835,0.949,-0.1681272352110943,-0.16769945911294723,0.00042777609814706463,0.008481951283767046,0.002550121547196296,0.0025435570454708616,1.0025808352665506,0.9485,0.00025768152478127047,0.08299068620119766,0.004225663404356141,0.08367861047494352,0.0,0.0,0.0039391,0.0008010999999999999
loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,1000,1000,2000,-0.0016092968466000016,-0.001745613,-0.00013631615339999847,-0.26189124445130346,3.1718395120660327e-07,2.709272485620271e-07,1.170734774335502,0.9275,-0.1689645517947289,-0.18450908061470353,-0.015544528819974618,-0.27885547939602573,0.003697089902214872,0.0031073971248655958,1.1897706516590738,0.9255,0.00015162976455828191,0.2692333519474472,0.016781304457918943,0.2759915026446196,0.0,0.0,0.019187000000000006,0.009827500000000001
loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,3000,2000,-0.0016092968466000016,-0.0016650786666666665,-5.578182006666494e-05,-0.18562093868790666,9.924363449299956e-08,9.030908285400903e-08,1.09893303482479,0.9425,-0.1689645517947289,-0.17522721486613382,-0.006262663071404911,-0.19459034813397746,0.0011471616537805675,0.0010357990416218653,1.1075137238825106,0.9435,4.843822844932135e-05,0.1537577166061344,0.005340004573986221,0.15766283021037078,0.0,0.0,0.0065151666666666665,0.0032545
loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,5000,2000,-0.0016092968466000016,-0.0016554730599999997,-4.617621339999818e-05,-0.1713082323469167,7.731326219493383e-08,7.265745227714877e-08,1.064078904116066,0.9465,-0.1689645517947289,-0.1741722327663344,-0.005207680971605483,-0.18038490378516045,0.0008912244166580865,0.0008334669129036714,1.0692978963654318,0.945,4.63421650335846e-05,0.16666688565123092,0.005125457915058472,0.17168768066464285,0.0,0.0,0.006522600000000001,0.0032772
loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,5000,5000,2000,-0.0016092968466000016,-0.00163478294,-2.5486093399998367e-05,-0.10948684199142415,5.6918592060186446e-08,5.418544971240542e-08,1.0504405216213477,0.942,-0.1689645517947289,-0.17186355627092778,-0.0028990044761988687,-0.11628816253717378,0.0006549457148824269,0.0006214794249731192,1.0538493931810458,0.9405,2.8202959603559285e-05,0.11821364564035983,0.003115859745974838,0.12175176003268501,0.0,0.0,0.003973699999999999,0.0019959
loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,1000,1000,2000,-0.001729596606,-0.0024412355,-0.000711638894,-0.3436927225328934,4.121633770925212e-06,4.287248720627625e-06,0.9613703424983079,0.9415,-0.18244495023029916,-0.2592313687945898,-0.07678641856429064,-0.35084957286214064,0.04665270519454172,0.04789905215716874,0.973979715537221,0.939,0.001001700657382234,0.4934046736250722,0.10695762905089595,0.49519169387740897,0.0905,0.0905,0.01897,0.009791500000000002
loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,3000,2000,-0.001729596606,-0.001990984388888889,-0.0002613877828888888,-0.21865357007544545,1.3446559184130306e-06,1.4290829068758749e-06,0.940922259963622,0.9485,-0.18244495023029916,-0.21048318978831645,-0.02803823955801729,-0.22189520095605164,0.01507703711805507,0.015966350719056246,0.9443007599764324,0.949,0.00034433628599357896,0.2969458136777851,0.03659365422343926,0.2980216247495529,0.0265,0.0265,0.0065955,0.0033013333333333336
loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,5000,2000,-0.001729596606,-0.00197485698,-0.000245260374,-0.2577517697855646,9.364936354021811e-07,9.054228708274879e-07,1.034316301891399,0.938,-0.18244495023029916,-0.20884404858663175,-0.026399098356332584,-0.26224966277821826,0.010536849947350761,0.010133239592779402,1.0398303376601257,0.936,0.0002938001726316716,0.303598507031766,0.03129517288463635,0.304875101122618,0.0125,0.0125,0.0066524,0.0033533
loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,5000,5000,2000,-0.001729596606,-0.00184421044,-0.00011461383399999987,-0.1237749338827003,8.317526895109613e-07,8.57449744125525e-07,0.970030832954798,0.955,-0.18244495023029916,-0.19480432736124856,-0.012359377130949395,-0.1262752179561831,0.009315265194814426,0.00957981043143375,0.9723851282326753,0.9545,0.00020009863088986865,0.21940524742216203,0.02125105010408418,0.2201824924540379,0.0145,0.0145,0.0039256,0.0019637
loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,1000,1000,2000,-0.022413451307999988,-0.022602343,-0.0001888916920000129,-0.06168942592442177,9.13358972821511e-06,9.375711951484628e-06,0.9741755906620853,0.953,-0.5555697890046698,-0.564183252693608,-0.008613463688938228,-0.10255171373265937,0.0069974501322222285,0.007054558026068697,0.9919048232879455,0.952,0.0003465876563006825,0.11468122978632572,0.010405020352774796,0.12438643705319002,0.0,0.0,0.019809,0.006100000000000001
loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,3000,2000,-0.022413451307999988,-0.022453372611111112,-3.9921303111124795e-05,-0.02258204187424978,3.0890059651620606e-06,3.1252373171615426e-06,0.9884068477614402,0.9525,-0.5555697890046698,-0.557676685420543,-0.0021068964158732495,-0.043447911652361365,0.002330972136866019,0.0023515193420228994,0.991262157708129,0.9485,0.00011339443581619934,0.06451821910740307,0.0033586412743098213,0.06956568719421156,0.0,0.0,0.0065475,0.0019835
loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,5000,2000,-0.022413451307999988,-0.02247216982,-5.87185120000111e-05,-0.03728290936466486,2.517561030464399e-06,2.480450089550074e-06,1.0149613737727157,0.9465,-0.5555697890046698,-0.5581938033940812,-0.0026240143894114,-0.060681355796275246,0.0019126675284921561,0.0018699150339320297,1.0228633353838688,0.945,0.00010299254028132308,0.06491062133485022,0.0031568454603867037,0.07218277591577342,0.0,0.0,0.0066113,0.0019949
loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,5000,5000,2000,-0.022413451307999988,-0.02243058518,-1.71338720000129e-05,-0.012512335828713587,1.897976190689312e-06,1.8751423902969256e-06,1.0121771021286392,0.947,-0.5555697890046698,-0.5565595587205551,-0.0009897697158852692,-0.026350220797453056,0.0014282824900252625,0.0014109116052137395,1.012311816521554,0.9395,6.679546381005219e-05,0.048484351352664976,0.001976592477260447,0.052301010771295224,0.0,0.0,0.0039818,0.0011752
loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,1000,1000,2000,-0.02734649453575999,-0.0283822475,-0.0010357529642400082,-0.18395992510418663,3.242578755201975e-05,3.1700486085014136e-05,1.0228798216235708,0.9425,-0.7061057041065899,-0.7380787856964399,-0.031973081589850016,-0.20915334754022707,0.024280378222518852,0.02336895821100287,1.0390013111961,0.94,0.0014059819748133333,0.24690761613901546,0.03927497245462847,0.2520508493987988,0.0,0.0,0.019555000000000003,0.005903
loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,3000,2000,-0.02734649453575999,-0.027572295555555557,-0.00022580101979556566,-0.06946300474838298,1.0834276114531341e-05,1.0566828695004714e-05,1.0253100932404684,0.949,-0.7061057041065899,-0.7128458890031358,-0.006740184896545931,-0.07636823644159246,0.008029503965098784,0.007789652737000958,1.0307910039376376,0.948,0.000467448632696553,0.14201491036908487,0.012950472286130738,0.14452442440239768,0.0,0.0,0.006624666666666667,0.0019671666666666665
loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,5000,2000,-0.02734649453575999,-0.027618802039999998,-0.0002723075042400068,-0.1007312862626882,7.232736969286883e-06,7.307864064876708e-06,0.9897196917015872,0.949,-0.7061057041065899,-0.7146737897903426,-0.008568085683752669,-0.1155640667312064,0.0054322565706415695,0.005496952309265234,0.9882306167156264,0.95,0.00042403696190402993,0.15767120201232018,0.011891064353279962,0.1613357426474798,0.0,0.0,0.0065968,0.0019695
loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,5000,5000,2000,-0.02734649453575999,-0.027493701439999997,-0.0001472069042400062,-0.05846288204347634,6.483219278339501e-06,6.340097217002828e-06,1.0225741114746394,0.9505,-0.7061057041065899,-0.71058727462145,-0.004481570514860089,-0.06555345110769169,0.004757681489870406,0.004673791642200574,1.0179489917591478,0.9525,0.00027780273283321073,0.10910412190199692,0.007711959651263093,0.11180650363008494,0.0,0.0,0.0039644,0.0011857999999999999
loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,1000,1000,2000,-0.05549483473765998,-0.055370317999999995,0.00012451673765998678,0.02500261560152133,2.4555496785268638e-05,2.480187871395568e-05,0.9900659973573532,0.945,-0.8381952267376671,-0.8403727762156556,-0.0021775494779885385,-0.023694537718668463,0.008575362158015907,0.008445776480116737,1.015343252121844,0.94,0.0004310312076868679,0.08698299412317514,0.008281687297347615,0.08943192790596548,0.0,0.0,0.0195695,0.004058
loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,3000,2000,-0.05549483473765998,-0.05546029755555556,3.453718210442297e-05,0.012011721055914092,7.992590630726675e-06,8.267292904651892e-06,0.9667724033618494,0.9585,-0.8381952267376671,-0.8391736452683615,-0.0009784185306943582,-0.01844019481803729,0.0027595237801999704,0.0028152588267055787,0.980202514249523,0.9545,0.0001452783708507119,0.05138746289970533,0.0027334435767671166,0.05203469858478486,0.0,0.0,0.006601666666666666,0.0014028333333333334
loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,5000,2000,-0.05549483473765998,-0.055381605460000004,0.00011322927765997776,0.044677347257454585,6.227795029167171e-06,6.42307090208857e-06,0.9695977397886263,0.952,-0.8381952267376671,-0.8376471788407518,0.0005480478969153157,0.011673364047152792,0.0021385317166707344,0.002204169414002371,0.970221119613283,0.9475,0.00011628185282321546,0.046595587070575116,0.0023979696950927783,0.05185442734124919,0.0,0.0,0.0066303,0.0013694
loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,5000,5000,2000,-0.05549483473765998,-0.055486660720000004,8.174017659977328e-06,0.0036701032655204594,5.091846596014289e-06,4.960375742791136e-06,1.0265042125920034,0.948,-0.8381952267376671,-0.8384879808663175,-0.0002927541286503743,-0.007123086839230084,0.001736650545417849,0.0016891552960233472,1.0281177518173235,0.948,8.302303949627445e-05,0.036792641895256016,0.0015913107906440401,0.03818552704421208,0.0,0.0,0.0039662,0.0008297
loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,1000,1000,2000,-0.06054519029243999,-0.061013875,-0.0004686847075600145,-0.06378449397974653,5.147339798736867e-05,5.39922390319603e-05,0.9533480905820441,0.9535,-1.0031283005620937,-1.0152601110635295,-0.012131810501435858,-0.08858313272953784,0.01828095989837708,0.01875638618542282,0.974652564606756,0.9465,0.0012912258898039489,0.17997442962099197,0.025121847263287568,0.18580272232607128,0.0,0.0,0.019449,0.0040955
loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,3000,2000,-0.06054519029243999,-0.0606692715,-0.00012408120756000895,-0.029248322978355477,1.815909174398073e-05,1.7997413010653432e-05,1.008983442966586,0.949,-1.0031283005620937,-1.0063681775613027,-0.0032398769992090237,-0.04097458531791035,0.006378145115696729,0.006252128728474273,1.0201557569741864,0.9455,0.00043081498768878087,0.10109827424807735,0.00834938749682928,0.10454599954201657,0.0,0.0,0.006628333333333333,0.0013541666666666667
loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,5000,2000,-0.06054519029243999,-0.06077303266,-0.00022784236756000914,-0.06405008377080962,1.2054418221105471e-05,1.2654050562842077e-05,0.9526134071648652,0.958,-1.0031283005620937,-1.008757493428798,-0.005629192866704269,-0.08357383883516613,0.004344260187885617,0.004536820062255602,0.9575562019812068,0.951,0.00040009677805451026,0.11523699546964447,0.007904361864530541,0.11992477161220357,0.0,0.0,0.0065949,0.0013677000000000001
loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,5000,5000,2000,-0.06054519029243999,-0.0605989096,-5.371930756001286e-05,-0.016347439518195662,1.0898965769272473e-05,1.079844780639206e-05,1.0093085566261581,0.95,-1.0031283005620937,-1.0045263258085915,-0.0013980252464977916,-0.022825769817963533,0.0038751220381316796,0.0037512772370845637,1.0330140358123374,0.947,0.00025995919730142274,0.07874310628642218,0.005052909335902192,0.0811706107439396,0.0,0.0,0.0039881000000000005,0.0008267
