dgp,alpha,trigger_regime,reference_size,evaluation_size,outer_repetitions,true_delta_pi,mean_delta_pi,bias_delta_pi,standardized_bias_delta_pi,empirical_variance_delta_pi,exact_variance_delta_pi,empirical_to_exact_variance_ratio_delta_pi,normal_coverage_delta_pi,true_delta_s,mean_delta_s,bias_delta_s,standardized_bias_delta_s,empirical_variance_delta_s,exact_variance_delta_s,empirical_to_exact_variance_ratio_delta_s,normal_coverage_delta_s,bridge_rms_delta_pi,bridge_rms_to_empirical_sd_delta_pi,bridge_rms_delta_s,bridge_rms_to_empirical_sd_delta_s,strict_sign_reversal_frequency_delta_pi,strict_sign_reversal_frequency_delta_s,mean_interval_union_probability,mean_pathwise_disagreement_probability
transparent_k3_max_trigger,0.05,above_all_base_thresholds,5000,5000,2000,-0.0022153187561699955,-0.00220777508,7.543676169995475e-06,0.02776004532235681,7.269801426932834e-08,7.384578854629231e-08,0.9844571464458741,0.949,-0.047605778261516685,-0.047472900099322674,0.00013287816219401116,0.022172038201843727,3.537138540744156e-05,3.591666378972043e-05,0.9848182340801116,0.95,1.5933439854595453e-05,0.059094664471669396,0.00035203354208188705,0.05919131797692444,0.0,0.0,0.0006084999999999999,0.000547
transparent_k3_max_trigger,0.05,below_all_base_thresholds,1000,1000,2000,-0.0028221921638099945,-0.003012899,-0.00019070683619000538,-0.09452592493852166,4.032276747172587e-06,4.070339657814441e-06,0.9906487139055389,0.949,-0.060930958869165996,-0.06532243327710818,-0.004391474407942186,-0.10037882166539566,0.0019113834839606576,0.0019139761680921454,0.9986453937229155,0.948,0.0004163934287425776,0.20736177486031962,0.00907085601463051,0.20747910158434502,0.018,0.018,0.0029210000000000004,0.002628
transparent_k3_max_trigger,0.05,below_all_base_thresholds,3000,3000,2000,-0.0028221921638099945,-0.0028344987222222225,-1.2306558412228039e-05,-0.010565302087221987,1.3396213901749362e-06,1.3567798859381469e-06,0.9873535155252199,0.943,-0.060930958869165996,-0.06127590744562468,-0.00034494857645868404,-0.013656729942735205,0.0006315249156073351,0.0006379920560307151,0.9898632900484444,0.9415,0.0001444146791553944,0.12477290971686081,0.0031368314601869555,0.12482338054370876,0.0015,0.0015,0.0009788333333333333,0.0008766666666666667
transparent_k3_max_trigger,0.05,below_all_base_thresholds,3000,5000,2000,-0.0028221921638099945,-0.0028574887199999998,-3.5296556190005275e-05,-0.03788702737584145,9.25187052743133e-07,8.679278115926468e-07,1.0659723543659876,0.937,-0.060930958869165996,-0.06176497228253837,-0.0008340134133723726,-0.04122021772784982,0.0004372222506749247,0.0004093789502210346,1.0680135127584276,0.937,0.00011468770324319867,0.11923454047726285,0.0025020305706737905,0.11965792956359243,0.0005,0.0005,0.0010157,0.0009128000000000001
transparent_k3_max_trigger,0.05,below_all_base_thresholds,5000,5000,2000,-0.0028221921638099945,-0.0028558042400000003,-3.361207619000583e-05,-0.03725332281893774,8.144337346797625e-07,8.140679315628882e-07,1.0004493520782376,0.947,-0.060930958869165996,-0.061699737530496054,-0.0007687786613300579,-0.0392932597835882,0.00038359060891588435,0.0003827952336184291,1.002077808780263,0.9475,8.620193788076926e-05,0.09551886471713819,0.0018728205931042036,0.09562296217936708,0.0,0.0,0.0005848,0.0005264
transparent_k3_max_trigger,0.1,above_all_base_thresholds,1000,1000,2000,-0.008694543299999996,-0.008809764999999999,-0.00011522170000000283,-0.07233741024676242,2.596982692121061e-06,2.53712955332153e-06,1.0235908878682105,0.9505,-0.10067369195508857,-0.10243536153950902,-0.00176166958442045,-0.09034181748785487,0.00039414358782642145,0.000380251788685223,1.0365331592238696,0.9495,0.00016338896841586347,0.1013883845032917,0.0019910382206205493,0.10028878368702464,0.0,0.0,0.003017,0.0025650000000000004
transparent_k3_max_trigger,0.1,above_all_base_thresholds,3000,3000,2000,-0.008694543299999996,-0.008720645055555556,-2.6101755555559686e-05,-0.02838304746321427,8.084039536147061e-07,8.457098511071766e-07,0.9558880655775372,0.9555,-0.10067369195508857,-0.10112593048787819,-0.0004522385327896117,-0.040169142237319905,0.0001224476984997189,0.00012675059622840767,0.9660522486147927,0.9525,5.37318780820309e-05,0.05976099314604418,0.000652591975603458,0.058974791750933876,0.0,0.0,0.000978,0.0008166666666666666
transparent_k3_max_trigger,0.1,above_all_base_thresholds,3000,5000,2000,-0.008694543299999996,-0.00873447992,-3.993662000000356e-05,-0.048912608594089274,6.696593682313093e-07,6.666547251946946e-07,1.0045070452860543,0.946,-0.10067369195508857,-0.10126479393989775,-0.0005911019848091753,-0.0590959778657607,0.00010030584364287439,0.00010004813297508864,1.0025758668365148,0.9485,4.85397598593153e-05,0.05931583508106553,0.0005982068514074095,0.0597294155628018,0.0,0.0,0.0009878,0.0008279
transparent_k3_max_trigger,0.1,above_all_base_thresholds,5000,5000,2000,-0.008694543299999996,-0.008707480619999998,-1.2937320000001515e-05,-0.018161762849399077,5.154381395085703e-07,5.07425910664306e-07,1.0157899481990877,0.95,-0.10067369195508857,-0.10090062593278193,-0.00022693397769335544,-0.026022492668705346,7.800493024764157e-05,7.605035773704461e-05,1.025701029801269,0.95,3.193368104055656e-05,0.04447958307676189,0.00038971965069376814,0.04412566649132595,0.0,0.0,0.0005996,0.0005027999999999999
transparent_k3_max_trigger,0.1,below_all_base_thresholds,1000,1000,2000,-0.01110116291874999,-0.011236403500000002,-0.00013524058125001168,-0.03990866482762039,1.1451584487931717e-05,1.1483642409821202e-05,0.9972083838258435,0.9455,-0.1302362897946867,-0.13243338237593022,-0.0021970925812435094,-0.05408064691771513,0.0016645724988819089,0.0016504902350039216,1.008532170369341,0.9465,0.0005395105772827812,0.15942894521063078,0.006530359317717807,0.16006107168414954,0.0,0.0,0.0030495,0.00256
transparent_k3_max_trigger,0.1,below_all_base_thresholds,3000,3000,2000,-0.01110116291874999,-0.011120731444444445,-1.9568525694454303e-05,-0.010001816996095774,3.860996730366556e-06,3.827880803273734e-06,1.0086512430231631,0.9485,-0.1302362897946867,-0.13061697906076306,-0.000380689266076345,-0.016230233926704647,0.0005543340987684428,0.0005501634116679739,1.007580815103324,0.9465,0.00018107488586251752,0.09215279314659398,0.002181890164118459,0.09267169092822734,0.0,0.0,0.0010004999999999999,0.0008473333333333333
transparent_k3_max_trigger,0.1,below_all_base_thresholds,3000,5000,2000,-0.01110116291874999,-0.01110789496,-6.73204125000923e-06,-0.004196831637643878,2.4765971431749873e-06,2.5730631344461986e-06,0.9625092793177912,0.9565,-0.1302362897946867,-0.13043241108927758,-0.00019612129459087302,-0.010145504209763546,0.0003603192520648436,0.0003736820457645228,0.9642402040688361,0.9555,0.0001605455297515311,0.10201652680618577,0.0019551740194731376,0.10300105759587416,0.0,0.0,0.0010236000000000002,0.0008562
transparent_k3_max_trigger,0.1,below_all_base_thresholds,5000,5000,2000,-0.01110116291874999,-0.01112692558,-2.5762661250009963e-05,-0.016999490103341876,2.1690171182904094e-06,2.2967284819642405e-06,0.9443942265371272,0.9595,-0.1302362897946867,-0.13061809106450328,-0.0003818012698165729,-0.02101434660063916,0.000312415089559031,0.0003300980470007843,0.9464311964205251,0.9615,0.0001069701757949379,0.07263253795958062,0.0012888656164061168,0.07291915662133316,0.0,0.0,0.0005866000000000001,0.00048819999999999994
gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,1000,1000,2000,-0.0011584173922599972,-0.0012642044999999998,-0.00010578710774000267,-0.2592835869061245,1.8736378057003505e-07,1.6646212520230397e-07,1.1255640305104178,0.929,-0.12158318394840606,-0.13361261748952763,-0.01202943354112157,-0.27569144619469405,0.002176968454066947,0.0019038984099134242,1.1434267935367097,0.928,0.00015763209857132536,0.3641680469107464,0.01694907013291131,0.3632618654461431,0.0025,0.0025,0.018776000000000004,0.0090805
