scale,dgp,alpha,trigger_regime,reference_size,evaluation_size,bridge_rms_to_empirical_sd,sqrt_B_scaled_bridge_ratio,strict_sign_reversal_frequency,locked_threshold,locked_threshold_fail
delta_pi,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,5000,5000,0.1231282903321791,8.706484904978987,0.0095,0.15,False
delta_pi,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,1000,1000,0.1112274732775684,3.5173215394262995,0.0,0.15,False
delta_pi,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,3000,0.0637207300139835,3.490128120935524,0.0,0.15,False
delta_pi,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,5000,0.0591056074670847,3.237347448476808,0.0,0.15,False
delta_pi,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,5000,5000,0.0533102952037175,3.7696071245605327,0.0,0.15,False
delta_pi,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,1000,1000,0.1876795607808447,5.9349488232747865,0.018,0.15,True
delta_pi,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,3000,0.1094459210791093,5.994599980195832,0.0005,0.15,False
delta_pi,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,5000,0.1145264286047098,6.272870837730446,0.0,0.15,False
delta_pi,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,5000,5000,0.0829906862011976,5.868327698819166,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,1000,1000,0.2692333519474472,8.51390614235663,0.0,0.15,True
delta_pi,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,3000,0.1537577166061344,8.421656977566649,0.0,0.15,True
delta_pi,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,5000,0.1666668856512309,9.128721286031325,0.0,0.15,True
delta_pi,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,5000,5000,0.1182136456403598,8.358967046108196,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,1000,1000,0.4934046736250722,15.60282576827236,0.0905,0.15,True
delta_pi,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,3000,0.2969458136777851,16.2643920508049,0.0265,0.15,True
delta_pi,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,5000,0.303598507031766,16.628775072618904,0.0125,0.15,True
delta_pi,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,5000,5000,0.219405247422162,15.514293828012303,0.0145,0.15,True
delta_pi,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,1000,1000,0.1146812297863257,3.6265389099393426,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,3000,0.064518219107403,3.5338083975185453,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,5000,0.0649106213348502,3.5553011526773557,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,5000,5000,0.0484843513526649,3.428361362290051,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,1000,1000,0.2469076161390154,7.80790438641838,0.0,0.15,True
delta_pi,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,3000,0.1420149103690848,7.778476991122207,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,5000,0.1576712020123201,8.636007401110167,0.0,0.15,True
delta_pi,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,5000,5000,0.1091041219019969,7.714826445230574,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,1000,1000,0.0869829941231751,2.7506437913027404,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,3000,0.0513874628997053,2.8146072603128425,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,5000,0.0465955870705751,2.5521454118750047,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,5000,5000,0.036792641895256,2.601632658190379,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,1000,1000,0.1799744296209919,5.691291181920088,0.0,0.15,True
delta_pi,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,3000,0.1010982742480773,5.537380533051557,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,5000,0.1152369954696444,6.311790187784488,0.0,0.15,False
delta_pi,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,5000,5000,0.0787431062864221,5.567978442682213,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.01,above_all_base_thresholds,1000,1000,0.2664461210268125,8.425766161616094,0.0,0.15,True
delta_s,transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,3000,0.1461377338607598,8.004293333822467,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,5000,0.1664836426626506,9.118684654196317,0.0,0.15,True
delta_s,transparent_k3_max_trigger,0.01,above_all_base_thresholds,5000,5000,0.1182395076333102,8.36079576516722,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.01,below_all_base_thresholds,1000,1000,0.3991107343926211,12.620989593031814,0.0475,0.15,True
delta_s,transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,3000,0.227578620291604,12.464994393961444,0.035,0.15,True
