dgp,alpha,trigger_regime,reference_size,evaluation_size,outer_repetitions,observed_delta_pi_bias,nu_centering_component,rho_mu_product_centering_component,outer_covariance_component,reconstructed_delta_pi_bias,delta_pi_decomposition_error,mean_e0,mean_rho,mean_mu,mean_nu,true_e0,true_rho,true_mu,true_nu,observed_delta_s_bias,delta_s_centering_component,delta_s_jensen_component,delta_s_decomposition_error,delta_s_centering_share,delta_s_jensen_share
loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,1000,1000,2000,-0.0007116388939999597,-0.0002603999999999992,-0.0004544314690000011,3.19257500000069e-06,-0.0007116388939999996,3.9898639947466563e-17,0.05560700000000001,0.0967865,0.06755000000000001,0.004093500000000001,0.0515189,0.096162,0.063263,0.0043539,-0.07678641856429064,-0.07621385792145663,-0.000572560642834008,0.0,0.9925434646707135,0.007456535329286423
loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,3000,2000,-0.0002613877828888437,-9.290000000003289e-05,-0.00016943508099999567,9.472981111115913e-07,-0.00026138778288891697,7.32920668600201e-17,0.052799999999999986,0.09625966666666663,0.06495899999999998,0.004260999999999967,0.0515189,0.096162,0.063263,0.0043539,-0.02803823955801729,-0.027866338403942592,-0.00017190115407469952,0.0,0.9938690461033048,0.006130953896695197
loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,5000,2000,-0.0002452603739999536,-7.289999999999901e-05,-0.00017210571060000037,-2.5466339999974386e-07,-0.0002452603739999991,4.5536491244391186e-17,0.05298010000000001,0.0965055,0.06482120000000001,0.004281000000000001,0.0515189,0.096162,0.063263,0.0043539,-0.026399098356332584,-0.02620530778990915,-0.00019379056642343517,0.0,0.9926591975298675,0.007340802470132429
loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,5000,5000,2000,-0.00011461383399995499,-2.689999999999984e-05,-8.832636608999828e-05,6.12532089998459e-07,-0.00011461383399999966,4.466912950640278e-17,0.0523106,0.0962433,0.06412729999999998,0.004327,0.0515189,0.096162,0.063263,0.0043539,-0.01235937713094934,-0.012259641430151014,-9.973570079832572e-05,0.0,0.9919303618829969,0.008069638117003142
loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,1000,1000,2000,-0.0001888916919999678,0.0,-0.0002309560350000038,4.206434300000131e-05,-0.0001888916920000025,3.469446951953614e-17,0.205757,0.12351450000000001,0.183334,0.0,0.2022205,0.12261,0.1828028,0.0,-0.008613463688938228,-0.007281333290062975,-0.001332130398875253,0.0,0.8453432385642919,0.15465676143570803
loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,3000,2000,-3.992130311107622e-05,0.0,-5.5329846749992834e-05,1.5408543638892325e-05,-3.992130311110051e-05,2.42861286636753e-17,0.20316433333333328,0.12286649999999998,0.18287149999999996,0.0,0.2022205,0.12261,0.1828028,0.0,-0.0021068964158732495,-0.001672563488044787,-0.00043433292782846245,0.0,0.7938517885567509,0.20614821144324916
loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,5000,2000,-5.8718511999966e-05,0.0,-6.963582935000032e-05,1.0917317349999622e-05,-5.8718512000000694e-05,3.469446951953614e-17,0.2033297,0.1228339,0.1830365,0.0,0.2022205,0.12261,0.1828028,0.0,-0.0026240143894114,-0.002263243198788345,-0.00036077119062305485,0.0,0.8625117331372636,0.1374882668627364
loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,5000,5000,2000,-1.7133871999967798e-05,0.0,-2.5494067000000203e-05,8.360194999997711e-06,-1.7133872000002492e-05,3.469446951953614e-17,0.20263409999999998,0.12270099999999999,0.182875,0.0,0.2022205,0.12261,0.1828028,0.0,-0.0009897697158852692,-0.0007233730747477907,-0.0002663966411374785,0.0,0.7308498766309411,0.26915012336905886
loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,1000,1000,2000,-0.001035752964239963,-0.0004927999999999912,-0.0005861490017399981,4.319603750000539e-05,-0.001035752964239984,2.0816681711721685e-17,0.20568799999999998,0.30922499999999997,0.1840535,0.02848850000000001,0.2022205,0.3081342,0.1828028,0.0289813,-0.031973081589850016,-0.03015618884992577,-0.0018168927399242474,0.0,0.9431743000805707,0.056825699919429325
loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,3000,2000,-0.0002258010197955171,-0.00016263333333335975,-8.047751768442551e-05,1.7309831222216132e-05,-0.00022580101979556913,5.204170427930421e-17,0.20257766666666663,0.30792866666666663,0.18318616666666662,0.028818666666666642,0.2022205,0.3081342,0.1828028,0.0289813,-0.006740184896545931,-0.006121665022973843,-0.0006185198735720876,0.0,0.9082339901552176,0.0917660098447824
loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,5000,2000,-0.0002723075042399582,-0.00021569999999999923,-6.842641258000132e-05,1.1818908340004153e-05,-0.0002723075042399964,3.8163916471489756e-17,0.20342600000000002,0.3084746,0.1828229,0.028765600000000002,0.2022205,0.3081342,0.1828028,0.0289813,-0.008568085683752669,-0.008097905794141269,-0.00047017988961139956,0.0,0.9451242778182082,0.054875722181791854
loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,5000,5000,2000,-0.0001472069042399611,-6.860000000000199e-05,-8.945175599999605e-05,1.0844851759998775e-05,-0.00014720690423999927,3.8163916471489756e-17,0.2025707,0.30808489999999994,0.18312240000000002,0.0289127,0.2022205,0.3081342,0.1828028,0.0289813,-0.004481570514860089,-0.004135988145893776,-0.0003455823689663129,0.0,0.9228881108039194,0.07711188919608056
loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,1000,1000,2000,0.0001245167376600284,0.0,3.25734969099864e-05,9.19432407500212e-05,0.0001245167376600076,2.0816681711721685e-17,0.34488300000000005,0.23138150000000002,0.23970050000000004,0.0,0.3434539,0.2314111,0.2398106,0.0,-0.0021775494779886495,5.889371943501587e-05,-0.0022364431974236654,0.0,-0.027045869694503837,1.0270458696945037
loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,3000,2000,3.453718210447154e-05,0.0,-2.56946923321566e-07,3.479412902777923e-05,3.4537182104457664e-05,1.3877787807814457e-17,0.344053,0.23133316666666665,0.23989249999999998,0.0,0.3434539,0.2314111,0.2398106,0.0,-0.0009784185306943582,-0.000254502840755233,-0.0007239156899391253,0.0,0.26011653783235167,0.7398834621676483
loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,5000,2000,0.00011322927766001939,0.0,8.696390303001428e-05,2.6265374629991234e-05,0.00011322927766000551,1.3877787807814457e-17,0.34396799999999994,0.23117329999999997,0.23968109999999998,0.0,0.3434539,0.2314111,0.2398106,0.0,0.0005480478969153157,0.0011026150580346616,-0.0005545671611193459,0.0,2.011895427827976,-1.011895427827976
loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,5000,5000,2000,8.1740176600259e-06,0.0,-7.836126639994279e-06,1.6010144299992424e-05,8.174017659998145e-06,2.7755575615628914e-17,0.3434415,0.2312355,0.24002659999999998,0.0,0.3434539,0.2314111,0.2398106,0.0,-0.0002927541286503743,0.00014562315557009597,-0.0004383772842204703,0.0,-0.49742477157003123,1.4974247715700313
loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,1000,1000,2000,-0.00046868470755996594,-0.0009460999999999914,0.00039286985394001994,8.454543849997775e-05,-0.0004686847075599937,2.7755575615628914e-17,0.345087,0.4727185,0.23912099999999997,0.051938500000000005,0.3434539,0.4729974,0.2398106,0.0528846,-0.012131810501435858,-0.009409986769793655,-0.0027218237316422034,0.0,0.7756457099853263,0.2243542900146736
loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,3000,2000,-0.00012408120755996732,-0.00027843333333334164,0.00011987938313447188,3.4472742638888554e-05,-0.0001240812075599812,1.3877787807814457e-17,0.343819,0.4727408333333333,0.23968716666666665,0.052606166666666655,0.3434539,0.4729974,0.2398106,0.0528846,-0.0032398769992090237,-0.002320899754412409,-0.0009189772447966149,0.0,0.7163542798010628,0.2836457201989372
loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,5000,2000,-0.0002278423675599675,-0.0003857999999999917,0.00013365860411999886,2.4299028320004523e-05,-0.00022784236755998832,2.0816681711721685e-17,0.34438529999999995,0.4734212,0.23931360000000002,0.052498800000000005,0.3434539,0.4729974,0.2398106,0.0528846,-0.005629192866704269,-0.004943700892529712,-0.0006854919741745569,0.0,0.8782255306566015,0.12177446934339856
loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,5000,5000,2000,-5.371930755997123e-05,-0.00015839999999999604,8.83883374200034e-05,1.629235502001447e-05,-5.371930755997817e-05,6.938893903907228e-18,0.34354399999999996,0.4728039,0.2397218,0.0527262,0.3434539,0.4729974,0.2398106,0.0528846,-0.0013980252464977916,-0.0008190021191882835,-0.0005790231273095081,0.0,0.5858278462709988,0.4141721537290012
