cell_type,dgp,alpha,trigger_label,offset_in_anchor_sd,outer_repetitions,true_delta_pi,mean_delta_pi,bias_delta_pi,empirical_sd_delta_pi,true_delta_s,mean_delta_s,bias_delta_s,empirical_sd_delta_s,mean_activation_rate,bridge_rms_delta_pi,bridge_rms_delta_s,adjudicative
near,transparent_k3_max_trigger,0.05,near_-0.200000sd,-0.2,3000,-0.0032025664232400025,-0.003270756222222222,-6.818979898221954e-05,0.0009703263622964452,-0.06904054215110889,-0.0706117714915448,-0.001571229340435909,0.021114990358297316,0.128005,0.00014225700046419478,0.003091348157222998,False
near,transparent_k3_max_trigger,0.05,near_-0.100000sd,-0.1,3000,-0.003568719079309987,-0.0036230145185185184,-5.42954392085313e-05,0.00080600791775007,-0.07683426423320716,-0.07812203832104175,-0.0012877740878345922,0.017635842273228952,0.10546799999999999,0.0001281560484291362,0.0027918795221632303,False
near,transparent_k3_max_trigger,0.05,near_-0.050000sd,-0.05,3000,-0.0037118373720400055,-0.0037599428518518526,-4.810547981184705e-05,0.0006916373304304588,-0.07987029394636469,-0.08106160235134902,-0.0011913084049843259,0.015232693376910297,0.09563900000000002,0.00011060711135503262,0.002415016213777364,False
near,transparent_k3_max_trigger,0.05,near_-0.025000sd,-0.025,3000,-0.0037284289468200033,-0.003755014296296296,-2.6585349476292933e-05,0.0006255323070029267,-0.08020818565990062,-0.08091225581826364,-0.0007040701583630182,0.01380240689186183,0.09050977777777776,0.00010162100362917501,0.002220022711203124,False
near,transparent_k3_max_trigger,0.05,near_+0.025000sd,0.025,3000,-0.0035580932008500016,-0.003556378962962963,1.714237887038509e-06,0.0005099949218035733,-0.07651782590901113,-0.07658272126068062,-6.489535166949445e-05,0.011323573663552012,0.08127888888888889,5.7878674509381946e-05,0.001271018896707328,False
near,transparent_k3_max_trigger,0.05,near_+0.050000sd,0.05,3000,-0.003373145963940005,-0.0033827963703703706,-9.650406430365428e-06,0.0004874437010027851,-0.07253307374430373,-0.07282372252118786,-0.00029064877688413093,0.010811904214212648,0.07719988888888889,4.292695005648873e-05,0.0009483478688910007,False
near,transparent_k3_max_trigger,0.05,near_+0.100000sd,0.1,3000,-0.003025973291640005,-0.0030591055555555554,-3.313226391555039e-05,0.0004465862413749331,-0.06505531711357859,-0.06587044667337086,-0.0008151295597922659,0.009921340452243082,0.06959444444444446,3.520786388028038e-05,0.0007816745500862163,False
near,transparent_k3_max_trigger,0.05,near_+0.200000sd,0.2,3000,-0.0024162570298199987,-0.002431672185185185,-1.5415155365186388e-05,0.0003759819955792509,-0.05192956853696562,-0.05233014208700699,-0.0004005735500413679,0.008323822945053677,0.055323777777777784,2.8487352763809195e-05,0.0006295578408842919,False
exact,transparent_k3_max_trigger,0.05,exact_coincidence,0.0,2000,-0.0037500862968599946,-0.0036961077222222223,5.397857463777236e-05,0.0005559751694020635,-0.08065524530503487,-0.07959694940550965,0.001058295899525219,0.012322264990807715,0.08582066666666668,8.156572211837132e-05,0.001783869316988834,False
