library,policy,replication,best_model,best_selection_metric,p_value,winner_model,winner_selection_roc_auc,naive_empirical_p_value,model_match,score_abs_diff,p_abs_diff,decision_mismatch_alpha_0.2,decision_mismatch_alpha_0.1,decision_mismatch_alpha_0.05,decision_mismatch_alpha_0.025,decision_mismatch_alpha_0.01,decision_mismatch_alpha_0.005
mixed_realistic_20,fixed_base,86,gaussian_nb,0.4946444444444444,0.5678864227154569,gaussian_nb,0.4946444444444444,0.5680863827234554,True,0.0,0.00019996000799848979,False,False,False,False,False,False
mixed_realistic_20,fixed_base,843,rbf_svm,0.4960444444444444,0.5372925414917017,rbf_svm,0.4960444444444444,0.5374925014997001,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,1538,gaussian_nb,0.4974444444444444,0.5330933813237353,gaussian_nb,0.4974444444444444,0.5332933413317337,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,1565,rbf_svm,0.4826777777777777,0.7120575884823035,rbf_svm,0.4826777777777777,0.712257548490302,True,0.0,0.00019996000799848979,False,False,False,False,False,False
mixed_realistic_20,fixed_base,1772,rbf_svm,0.4967888888888889,0.5282943411317736,rbf_svm,0.4967888888888889,0.528494301139772,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,1790,decision_tree,0.49255,0.6206758648270346,decision_tree,0.49255,0.620875824835033,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,1819,random_forest,0.4963611111111111,0.5426914617076585,random_forest,0.4963611111111111,0.5428914217156569,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,1872,decision_tree,0.4939388888888888,0.597880423915217,decision_tree,0.4939388888888888,0.5980803839232154,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,2123,random_forest,0.4987,0.5132973405318936,random_forest,0.4987,0.5134973005398921,True,0.0,0.00019996000799848979,False,False,False,False,False,False
mixed_realistic_20,fixed_base,2279,decision_tree,0.4914944444444444,0.6364727054589082,decision_tree,0.4914944444444444,0.6366726654669066,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,2671,decision_tree,0.4817666666666667,0.7822435512897421,decision_tree,0.4817666666666667,0.7824435112977405,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,2696,rbf_svm,0.4967111111111111,0.5288942211557689,rbf_svm,0.4967111111111111,0.529494101179764,True,0.0,0.0005998800239951363,False,False,False,False,False,False
mixed_realistic_20,fixed_base,3020,decision_tree,0.4660499999999999,0.9308138372325536,decision_tree,0.4660499999999999,0.931013797240552,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,3987,decision_tree,0.4911,0.6444711057788443,decision_tree,0.4911,0.6446710657868426,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,4468,logistic_regression,0.4978555555555555,0.5298940211957609,logistic_regression,0.4978555555555555,0.5300939812037593,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,4579,logistic_regression,0.4996,0.5052989402119576,logistic_regression,0.4996,0.505498900219956,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,4838,hist_gradient_boosting,0.4932222222222222,0.5842831433713257,hist_gradient_boosting,0.4932222222222222,0.5844831033793242,True,0.0,0.00019996000799848979,False,False,False,False,False,False
mixed_realistic_20,fixed_base,4925,random_forest,0.4924722222222222,0.594881023795241,random_forest,0.4924722222222222,0.5950809838032394,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_base,4949,rbf_svm,0.4721666666666667,0.8222355528894221,rbf_svm,0.4721666666666667,0.8224355128974206,True,0.0,0.00019996000799848979,False,False,False,False,False,False
mixed_realistic_20,fixed_full,131,hist_gb_shallow,0.4905666666666667,0.6164767046590682,hist_gb_shallow,0.4905666666666667,0.6166766646670666,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_full,1538,gaussian_nb,0.4974444444444444,0.5330933813237353,gaussian_nb,0.4974444444444444,0.5332933413317337,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_full,2279,decision_tree,0.4914944444444444,0.6364727054589082,decision_tree,0.4914944444444444,0.6366726654669066,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_full,2488,logreg_l1_c01,0.4995222222222222,0.5212957408518296,logreg_l1_c01,0.4995222222222222,0.521495700859828,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_full,2671,decision_tree,0.4817666666666667,0.7822435512897421,decision_tree,0.4817666666666667,0.7824435112977405,True,0.0,0.00019996000799837876,False,False,False,False,False,False
mixed_realistic_20,fixed_full,2787,adaboost_stump,0.4935722222222222,0.5966806638672265,adaboost_stump,0.4935722222222222,0.596880623875225,True,0.0,0.00019996000799848979,False,False,False,False,False,False
mixed_realistic_20,fixed_full,3112,gradient_boosting,0.4992111111111111,0.5086982603479304,gradient_boosting,0.4992111111111111,0.5088982203559288,True,0.0,0.00019996000799837876,False,False,False,False,False,False
