library,policy,policy_label,local_alpha,tess,bootstrap_mean,bootstrap_se,pointwise_low_95,pointwise_high_95,bootstrap_repetitions
mixed_realistic_20,fixed_base,Fixed base (K=7),0.2,3.9133160571783945,3.9140695749182894,0.07525868759272954,3.767617482448591,4.063911180773847,20000
mixed_realistic_20,fixed_base,Fixed base (K=7),0.1,4.22099131999106,4.221166688678293,0.10105383777453664,4.024624320088945,4.4215070058709935,20000
mixed_realistic_20,fixed_base,Fixed base (K=7),0.05,4.321123800624308,4.321957729502617,0.13794281563231162,4.060081172540264,4.5955779665866485,20000
mixed_realistic_20,fixed_base,Fixed base (K=7),0.025,4.718395846569913,4.720361156807315,0.19964658577125202,4.3374555204521865,5.121028183297813,20000
mixed_realistic_20,fixed_base,Fixed base (K=7),0.01,5.145543038610192,5.1473442082168095,0.3261197361282389,4.518840384290256,5.797309560722471,20000
mixed_realistic_20,fixed_base,Fixed base (K=7),0.005,6.364744701611254,6.366323505924915,0.5100594102360122,5.37854496418347,7.397246655829961,20000
mixed_realistic_20,fixed_full,Fixed full (K=20),0.2,6.043702747444453,6.044242144262104,0.10789685051171932,5.837895693569784,6.2594182569810375,20000
mixed_realistic_20,fixed_full,Fixed full (K=20),0.1,6.693397022510016,6.693887000932102,0.13691118272888506,6.42815600488518,6.962409068635038,20000
mixed_realistic_20,fixed_full,Fixed full (K=20),0.05,7.495847289861186,7.496129398669722,0.189666306738336,7.127082571152148,7.877561619292842,20000
mixed_realistic_20,fixed_full,Fixed full (K=20),0.025,8.420682414264759,8.421974262168678,0.2725002353950486,7.886590942350418,8.962094993876155,20000
mixed_realistic_20,fixed_full,Fixed full (K=20),0.01,9.866095320453695,9.866840001820544,0.4540520536394006,8.990987107053728,10.793318543508336,20000
mixed_realistic_20,fixed_full,Fixed full (K=20),0.005,10.990425268712643,10.993772615881,0.6701773985176225,9.687737743610679,12.344117195681857,20000
mixed_realistic_20,random_expansion,Random expansion,0.2,4.821438017644872,4.8218625985278205,0.08875713660552007,4.6512370513093595,4.998359155366648,20000
mixed_realistic_20,random_expansion,Random expansion,0.1,5.358535654844245,5.358845146712462,0.11762108254403637,5.130933336121203,5.591730325758878,20000
mixed_realistic_20,random_expansion,Random expansion,0.05,5.822897856198891,5.824451985085421,0.16303343914808083,5.510041839264258,6.146199888040965,20000
mixed_realistic_20,random_expansion,Random expansion,0.025,6.502886112565821,6.505113096254933,0.2371961695527404,6.049148472458897,6.971320092193061,20000
mixed_realistic_20,random_expansion,Random expansion,0.01,7.392051933863706,7.394972010809934,0.3926041449548858,6.644656921299336,8.166703305443438,20000
mixed_realistic_20,random_expansion,Random expansion,0.005,8.518383693589563,8.523610939064877,0.591870464602272,7.397246655829961,9.72962741983563,20000
mixed_realistic_20,promising_triggered,Expand when promising,0.2,3.9133160571783945,3.9140695749182894,0.07525868759272954,3.767617482448591,4.063911180773847,20000
mixed_realistic_20,promising_triggered,Expand when promising,0.1,5.258906801827047,5.259380788992705,0.11647351629161704,5.033653137929187,5.489636602958226,20000
mixed_realistic_20,promising_triggered,Expand when promising,0.05,6.649657684332337,6.650229978512865,0.1772258367824632,6.30718945475879,7.0038333197486216,20000
mixed_realistic_20,promising_triggered,Expand when promising,0.025,7.799877646918288,7.801715346319528,0.26187711572439265,7.293058398980466,8.323036158833677,20000
mixed_realistic_20,promising_triggered,Expand when promising,0.01,9.383833619687882,9.384718500530255,0.44312308340784917,8.5346179741367,10.262970737984714,20000
mixed_realistic_20,promising_triggered,Expand when promising,0.005,10.65343265093327,10.655587208818167,0.6600678733528947,9.394756032290392,11.962462016982137,20000
mixed_realistic_20,rescue_triggered,Expand for rescue,0.2,6.043702747444453,6.044242144262104,0.10789685051171932,5.837895693569784,6.2594182569810375,20000
mixed_realistic_20,rescue_triggered,Expand for rescue,0.1,5.496408791316204,5.496549898778268,0.11912699687592364,5.265516287874811,5.733058553451572,20000
mixed_realistic_20,rescue_triggered,Expand for rescue,0.05,5.070193063714167,5.070781027316545,0.15024731518403786,4.78403976955491,5.3657429196288025,20000
mixed_realistic_20,rescue_triggered,Expand for rescue,0.025,5.292268591596043,5.293735865947018,0.21220053303406672,4.878956596959203,5.7190806168164645,20000
mixed_realistic_20,rescue_triggered,Expand for rescue,0.01,5.607646798166394,5.609319677230369,0.34012144819241447,4.957117424747441,6.2836522008631945,20000
mixed_realistic_20,rescue_triggered,Expand for rescue,0.005,6.694564296944919,6.6973115388801645,0.5232920834593562,5.705710486799666,7.770259383299228,20000
